"Horário","Dom","Seg","Ter","Qua","Qui","Sex","Sáb"

"07:00","-","-","-","-","GPE106-13A - Língua Brasileira de Sinais (libras)
GPE106-20A - Língua Brasileira de Sinais (libras)","GES102-2A - Estatística Experimental","GFI125-30W - Física A
GFI125-3E - Física A
GFI125-A - Física A"

"08:00","-","GES102-5A - Estatística Experimental","-","GAT135-22B - Introdução Aos Sistemas Embarcados e Microcontroladores","GEF111-5A - Sensoriamento Remoto e Sist de Informações Geográficas
GPE106-13A - Língua Brasileira de Sinais (libras)
GPE106-20A - Língua Brasileira de Sinais (libras)","GES102-11A - Estatística Experimental
GES102-12A - Estatística Experimental
GES102-2A - Estatística Experimental","GFI125-30W - Física A
GFI125-3E - Física A
GFI125-A - Física A"

"09:00","-","GES102-5A - Estatística Experimental
GMM134-30A - Introdução à Álgebra Linear
GMM134-30B - Introdução à Álgebra Linear","GFI125-30A - Física A
GFI125-30B - Física A
GFI125-46A - Física A
GFI125-46B - Física A
GFI125-46C - Física A
GFI125-46D - Física A
GFI125-49A - Física A
GFI125-54A - Física A","GAT135-22B - Introdução Aos Sistemas Embarcados e Microcontroladores","GEF111-5A - Sensoriamento Remoto e Sist de Informações Geográficas","GES102-11A - Estatística Experimental
GES102-12A - Estatística Experimental","GFI125-30W - Física A
GFI125-3E - Física A
GFI125-A - Física A"

"10:00","-","GAT135-10A - Introdução Aos Sistemas Embarcados e Microcontroladores
GAT135-22A - Introdução Aos Sistemas Embarcados e Microcontroladores
GAT135-22B - Introdução Aos Sistemas Embarcados e Microcontroladores
GMM134-30A - Introdução à Álgebra Linear
GMM134-30B - Introdução à Álgebra Linear","GFI125-30A - Física A
GFI125-30B - Física A
GFI125-46A - Física A
GFI125-46B - Física A
GFI125-46C - Física A
GFI125-46D - Física A
GFI125-49A - Física A
GFI125-54A - Física A","GAT135-10A - Introdução Aos Sistemas Embarcados e Microcontroladores
GAT135-22A - Introdução Aos Sistemas Embarcados e Microcontroladores
GES102-1C - Estatística Experimental
GES102-3A - Estatística Experimental","GEF111-5B - Sensoriamento Remoto e Sist de Informações Geográficas
GFI125-30A - Física A
GFI125-30B - Física A
GFI125-46A - Física A
GFI125-46B - Física A
GFI125-46C - Física A
GFI125-46D - Física A
GFI125-49A - Física A
GFI125-54A - Física A","GEF111-10A - Sensoriamento Remoto e Sist de Informações Geográficas
GEF111-5A - Sensoriamento Remoto e Sist de Informações Geográficas
GEF111-5B - Sensoriamento Remoto e Sist de Informações Geográficas
GEF111-5C - Sensoriamento Remoto e Sist de Informações Geográficas
GES102-1C - Estatística Experimental
GES102-3A - Estatística Experimental","GFI125-30W - Física A
GFI125-3E - Física A
GFI125-A - Física A"

"11:00","-","GAT135-10A - Introdução Aos Sistemas Embarcados e Microcontroladores
GAT135-22A - Introdução Aos Sistemas Embarcados e Microcontroladores
GAT135-22B - Introdução Aos Sistemas Embarcados e Microcontroladores","-","GAT135-10A - Introdução Aos Sistemas Embarcados e Microcontroladores
GAT135-22A - Introdução Aos Sistemas Embarcados e Microcontroladores
GES102-1C - Estatística Experimental
GES102-3A - Estatística Experimental","GEF111-5B - Sensoriamento Remoto e Sist de Informações Geográficas
GFI125-30A - Física A
GFI125-30B - Física A
GFI125-46A - Física A
GFI125-46B - Física A
GFI125-46C - Física A
GFI125-46D - Física A
GFI125-49A - Física A
GFI125-54A - Física A","GEF111-10A - Sensoriamento Remoto e Sist de Informações Geográficas
GEF111-5A - Sensoriamento Remoto e Sist de Informações Geográficas
GEF111-5B - Sensoriamento Remoto e Sist de Informações Geográficas
GEF111-5C - Sensoriamento Remoto e Sist de Informações Geográficas
GES102-1C - Estatística Experimental
GES102-3A - Estatística Experimental","-"
